Name,Team,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,1st Move,2nd Move,3rd Move,4th Move
Rhymes,Umbrella,MF,Wind,140,140,47,48,52,53,46,45,48,Rodeo Clown,Whirlwind Twister,Run Ball Run,Rolling Hell
Tunk,Umbrella,MF,Fire,145,109,55,53,44,62,55,47,54,Spiral Shot,Black Magic,Breakthrough,Tarzan Kick
Morefield,Umbrella,MF,Wind,167,129,59,56,58,52,48,52,72,Flurry Dash,Spinning Shot,Dynamite Shot,Freeze Shot
Scott,Umbrella,MF,Wood,129,109,44,52,47,50,55,52,44,Defence Scan,Magic,Fake Ball,Attack Scan
Cyborg,Umbrella,FW,Wood,123,165,49,55,63,51,51,56,65,Snake Shot,Attack Scan,Zigzag Spark,Patriot Shot
Balt Decker,Connection Map,DF,Wind,169,174,56,46,47,60,75,61,67,Quick Draw,Whirlwind Twister,Dynamite Shot,Back Tornado
Art Pendragon,Connection Map,GK,Wind,132,136,60,65,46,63,63,71,59,Tornado Catch,Shot Pocket,Ghost Pull,Mistral
Nev Erin,Connection Map,FW,Wind,121,176,60,70,71,61,76,68,71,Dash Accelerator,Coil Turn,Cross Drive,Divine Arrows
Christian Dear,Connection Map,DF,Wood,118,100,59,64,76,64,44,52,55,Rolling Kick,Spinning Cut,About Face,Whirlwind Cut
Jeeves Dropper,Connection Map,MF,Wind,96,142,45,61,58,53,68,60,54,Flurry Dash,Monkey Turn,Poison Fog,Moonsault
Iggy Loyaller,Connection Map,FW,Wood,83,158,61,62,53,62,34,64,53,Dash Accelerator,Spinning Shot,Cross Drive,Blade Attack
Spike Needle,Connection Map,GK,Wind,151,130,42,32,39,60,71,59,54,Killer Blade,Power Shield,Coil Turn,Full Power Shield
Chaz Biggins,Connection Map,FW,Earth,176,98,63,61,28,63,57,64,56,Sumo Stomp,Dynamite Shot,Dirt Ball,Rolling Hell
Macky Valley,Connection Map,FW,Wind,116,108,58,59,45,44,47,52,78,Flurry Dash,Grenade Shot,Cross Drive,Divine Arrows
Percy Coldstair,Connection Map,DF,Wood,107,156,42,59,56,52,65,64,63,Attack Scan,Defence Scan,Breakthrough,Clone Faker
Hank Halberd,Connection Map,GK,Wood,195,156,66,62,61,61,37,62,55,Killer Blade,Teleport Shot,Killer Slide,Whirlwind
Don Keys,Connection Map,FW,Fire,129,150,45,36,32,53,64,55,56,Teleport Shot,Psycho Shot,Illusion Ball,Shine Drive
Berty Adman,Connection Map,GK,Earth,129,136,52,52,56,59,71,64,55,Fireball Knuckle,Toughness Block,Rocket Kobushi,Mistral
Joe Straiter,Connection Map,GK,Fire,171,132,56,53,52,71,58,58,59,Pressure Punch,Quick Draw,Whirlwind,Full Power Shield
Rocky Shears,Connection Map,GK,Earth,167,158,58,58,60,79,63,60,60,Rocket Kobushi,Wood Chopper,Bamboo Pattern,Counter Strike
Sham Spike,Connection Map,MF,Earth,156,140,64,58,52,56,55,58,58,Bewildered,Horn Train,Illusion Ball,Mole Fake
Colin Salts,Connection Map,FW,Wood,132,110,63,44,46,41,44,48,41,Snake Shot,Wrath Shot,Spider Web,Clone Shot
Tony Hacker,Connection Map,MF,Wood,79,168,52,60,67,69,76,75,64,Black Magic,Defence Scan,Shadow Stitch,Clone Shot
Andrew Meikle,Connection Map,GK,Fire,165,168,48,56,61,48,63,53,62,Fireball Knuckle,Pressure Punch,The Wall,Gigant Wall
Arthur Dox,Connection Map,FW,Earth,81,144,60,67,40,66,60,68,55,Spiral Shot,Quick Draw,Meteor Attack,Rolling Hell
Len Scapp,Connection Map,GK,Earth,127,150,41,36,33,56,74,56,63,Pressure Punch,Power Shield,Spinning Cut,Wood Chopper
Penfold Pulper,Connection Map,FW,Wind,99,158,41,52,59,59,71,64,62,Grenade Shot,Tarzan Kick,Zigzag Spark,Run Ball Run
Carl Gnu,Connection Map,FW,Wood,77,152,42,55,53,62,71,72,54,Dynamite Shot,Dash Accelerator,Kung Fu Header,Shine Drive
Scean Spector,Connection Map,DF,Wind,138,154,47,30,28,56,62,56,60,Doppelganger,Black Magic,Ghost Pull,About Face
Bo Ling,Connection Map,DF,Wood,147,146,45,55,79,50,56,57,52,Killer Slide,Zigzag Spark,Cyclone,Whirlwind Cut
Troy Trucker,Connection Map,FW,Wind,77,156,66,53,63,58,60,79,52,Coil Turn,Meteor Attack,Kung Fu Header,Whirlwind Cut
Drew Straitedge,Connection Map,GK,Earth,118,124,49,46,44,44,46,42,47,Pressure Punch,Monkey Turn,Wood Chopper,Whirlwind
Bos Horne,Connection Map,DF,Earth,85,146,61,61,54,56,59,68,55,Doppelganger,Bewildered,Heat Tackle,Bamboo Pattern
Pete Grimes,Connection Map,GK,Fire,158,176,44,53,60,41,52,62,52,Pressure Punch,Toughness Block,Coil Turn,Full Power Shield
Homer Pidgeon,Connection Map,DF,Fire,213,130,60,60,56,52,60,77,56,Coil Turn,Monkey Turn,Cross Drive,Harvest
Kit Chapman,Connection Map,FW,Fire,125,153,69,59,57,54,53,62,61,Grenade Shot,Utter Gutsiness Bat,Whirlwind Twister,Back Tornado
Joe Nalist,Connection Map,GK,Wood,191,142,63,53,55,68,38,68,58,Killer Blade,Shot Pocket,Spider Web,Poison Fog
Davy Johns,Connection Map,FW,Wind,88,118,68,51,41,60,71,56,40,Comet Shot,Meteor Attack,Earthquake,Dirt Ball
Phil Anthropic,Connection Map,FW,Earth,136,124,77,77,78,78,68,43,75,Teleport Shot,Ghost Pull,Black Magic,Dirt Ball
Florian Hutter,Connection Map,MF,Fire,165,196,55,54,52,56,59,62,57,Rodeo Clown,Bewildered,Dynamite Shot,Illusion Ball
Peter Malus,Connection Map,MF,Earth,125,133,63,63,56,53,60,61,53,Rodeo Clown,Bewildered,Breakthrough,Dirt Ball
Dom Ittory,Connection Map,GK,Earth,160,132,51,52,60,44,62,62,52,Toughness Block,Coil Turn,Rocket Kobushi,Counter Strike
Sol Crater,Connection Map,FW,Fire,171,138,53,52,52,56,52,57,56,Spinning Shot,Tarzan Kick,Mole Fake,Dirt Ball
Dex Territy,Connection Map,GK,Earth,167,154,60,52,58,52,59,56,56,Killer Blade,Toughness Block,Wood Chopper,Shadow Stitch
Ramsey Faroe,Connection Map,GK,Fire,217,82,37,77,32,71,30,79,34,Phantom Shot,Spider Web,Poison Fog,God Hand
Tim Piece,Connection Map,FW,Wind,156,144,47,61,54,60,66,60,62,Comet Shot,Quick Draw,Run Ball Run,Attack Scan
Hike Basher,Connection Map,FW,Wood,149,152,60,60,54,56,61,54,63,Rolling Kick,Teleport Shot,Psycho Shot,Death Zone
Madison Cabinet,Connection Map,GK,Fire,167,172,40,52,61,42,60,63,57,Grenade Shot,Patriot Shot,Illusion Ball,Blazing Knuckle
Viv Grey,Connection Map,DF,Fire,140,198,55,57,42,44,47,61,56,Comet Shot,Tiro del condor,Illusion Ball,Psycho Shot
Dan Drobium,Connection Map,FW,Wood,156,150,52,60,62,53,56,62,57,Phantom Shot,Doppelganger,Psycho Shot,Poison Fog
Walter Mendip,Connection Map,FW,Wind,116,102,61,62,40,51,42,54,59,Snake Shot,Bewildered,Dirt Ball,Reflect Buster
Cal Cooler,Connection Map,FW,Wood,191,152,68,56,61,60,55,69,57,Grenade Shot,Freeze Shot,Rodeo Clown,Cyclone
Shirley Ladyman,Connection Map,DF,Wood,167,150,51,31,30,53,68,60,62,Coil Turn,Whirlwind Twister,Cyclone,Whirlwind Cut
Callan Trens,Connection Map,FW,Fire,121,153,62,61,57,65,55,52,57,Spiral Shot,Whirlwind Twister,Twin Boost,Whirlwind Cut
Grant Slammer,Connection Map,FW,Wind,149,152,48,57,63,43,57,54,58,Spiral Shot,Psycho Shot,Clone Shot,Afterimage
Pascal Richter,Connection Map,MF,Earth,167,138,51,60,62,45,52,60,57,Horn Train,Zigzag Spark,Mole Fake,Cyclone
Florian Selles,Connection Map,FW,Wood,158,150,52,60,59,63,59,52,52,Rolling Kick,Phantom Shot,Dash Accelerator,Dash Storm
Oscar Esher,Connection Map,GK,Wind,81,94,35,31,28,36,38,32,32,Rodeo Clown,Sumo Stomp,Toughness Block,Gigant Wall
Perry Pincher,Connection Map,FW,Earth,162,140,58,56,55,52,59,63,61,Spiral Shot,Kung Fu Header,Zigzag Spark,rande turbine
Bill Phee,Connection Map,GK,Wood,99,130,70,52,52,60,60,69,60,Fireball Knuckle,Blade Attack,Blazing Knuckle,Hurricane Arrows
Sonny Rentman,Connection Map,FW,Earth,118,178,56,71,60,69,62,63,57,Spinning Shot,Grenade Shot,Spinning Cut,Shine Drive
Rod Entwhistle,Connection Map,GK,Wind,107,136,66,58,56,68,39,79,60,Killer Blade,Coil Turn,Rocket Kobushi,Cyclone
Alec Dote,Connection Map,GK,Wind,149,198,41,55,64,40,60,58,60,Shadow Stitch,Phantom Shot,Freeze Shot,Bamboo Pattern
Pay Chance,Connection Map,GK,Fire,173,141,59,56,53,59,60,56,56,Fireball Knuckle,Toughness Block,Whirlwind,Blazing Knuckle
John Corder,Connection Map,FW,Fire,145,132,56,63,62,61,62,56,52,Comet Shot,Bewildered,Heat Tackle,Patriot Shot
Carey Ginu,Connection Map,FW,Wood,88,132,40,52,60,62,78,55,60,Sumo Stomp,Bewildered,Utter Gutsiness Bat,Ghost Pull
Jack Trumper,Connection Map,FW,Wind,171,174,40,58,68,44,57,57,52,Spinning Shot,Teleport Shot,Cross Drive,Divine Arrows
Colin Lection,Connection Map,DF,Fire,158,154,56,57,52,60,52,62,52,Killer Slide,Fake Ball,Heat Tackle,Cyclone
Conor Abley,Connection Map,GK,Fire,94,148,64,58,62,67,38,78,62,Pressure Punch,Wild Claw,Harvest,Blazing Knuckle
Rick Hatter,Connection Map,FW,Fire,191,156,60,61,64,65,64,62,64,Grenade Shot,Dynamite Shot,Patriot Shot,Divine Arrows
Percy Stent,Connection Map,GK,Fire,151,173,76,63,60,62,68,69,67,Power Shield,The Wall,Wood Chopper,Whirlwind
Luke Raffles,Connection Map,MF,Wood,107,154,62,59,56,52,63,68,60,Quick Draw,Tarzan Kick,Breakthrough,About Face
Trey Spotter,Connection Map,MF,Wind,149,132,47,54,61,51,51,44,52,Magic,Run Ball Run,Horn Train,Illusion Ball
Hollis Ticure,Connection Map,FW,Fire,193,138,58,60,53,59,52,69,52,Sumo Stomp,Grenade Shot,Meteor Attack,Mole Fake
Dash Dotter,Connection Map,MF,Wind,96,142,51,52,61,52,65,62,58,Whirlwind Twister,Zigzag Spark,Illusion Ball,Dash Storm
Guy Dance,Connection Map,MF,Earth,81,144,42,58,63,62,60,67,55,Dash Accelerator,Bewildered,Defence Scan,Dirt Ball
Brendan Branch,Connection Map,GK,Earth,79,142,44,58,60,61,68,56,55,Comet Shot,Pressure Punch,Quick Draw,Shot Pocket
Slim Lanky,Connection Map,GK,Wind,118,142,44,36,35,58,66,55,63,Killer Blade,Wood Chopper,Cyclone,Blazing Knuckle
Bob Whittle,Connection Map,FW,Wind,140,164,60,68,70,64,70,64,62,Comet Shot,Kung Fu Header,Back Tornado,Divine Arrows
Ringo Stagg,Connection Map,DF,Wind,140,165,60,65,57,67,56,56,63,Coil Turn,Zigzag Spark,Afterimage,Harvest
Sam O'Reilly,Connection Map,MF,Fire,118,104,63,54,44,44,41,55,56,Whirlwind Twister,Whirlwind Cut,Clone Shot,Blade Attack
Theo Broma,Connection Map,DF,Fire,140,128,52,54,49,49,41,55,53,Rolling Kick,Spinning Cut,About Face,Kung Fu Header
Gwyn Penn,Connection Map,GK,Wind,165,176,49,57,71,43,58,53,61,Killer Blade,Wood Chopper,Mistral,Freeze Shot
Thor Toise,Connection Map,MF,Earth,118,110,52,54,48,41,50,59,53,Sumo Stomp,Horn Train,Earthquake,Mega Quake
Nick Yergrub,Connection Map,FW,Wind,99,152,62,70,48,76,52,76,62,Spinning Shot,Rodeo Clown,Condor Dive,Utter Gutsiness Bat
Don Snow,Connection Map,GK,Fire,200,130,60,58,60,64,35,64,61,Pressure Punch,Toughness Block,Dash Accelerator,Mistral
Walter Card,Connection Map,FW,Earth,79,186,32,30,79,33,39,36,35,Sumo Stomp,Black Magic,About Face,Dirt Ball
Sonny Welkin,Connection Map,MF,Fire,167,144,68,62,54,60,35,68,54,Sumo Stomp,Horn Train,Super Armadillo,Boost Glider
Joe Lamkin,Connection Map,MF,Wood,162,152,52,60,56,53,62,58,56,Rodeo Clown,Snake Shot,Magic,Spider Web
Bud Hunter,Connection Map,GK,Wood,134,132,47,56,59,52,63,64,56,Killer Blade,Blade Attack,Magic,Illusion Ball
Crane Clawson,Connection Map,MF,Wind,145,157,60,64,60,68,56,52,61,Bewildered,Breakthrough,Poison Fog,Utter Gutsiness Bat
Ernest Byer,Connection Map,FW,Fire,211,178,56,57,52,57,61,78,61,Fire Tornado,Utter Gutsiness Bat,Poison Fog,Spider Web
Thomas Cott,Connection Map,GK,Wind,147,150,53,59,53,56,63,59,56,Tornado Catch,Doppelganger,Whirlwind,Shadow Stitch
Bo Luger,Connection Map,FW,Wood,158,148,78,56,54,56,54,58,61,Rodeo Clown,Illusion Ball,Dirt Ball,Run Ball Run
Rory Polisher,Connection Map,GK,Fire,173,142,47,59,61,43,58,61,62,Fireball Knuckle,Power Shield,Mole Fake,Full Power Shield
Willow Withers,Connection Map,MF,Wood,90,152,42,56,59,55,60,62,76,Flurry Dash,Quick Draw,Comet Shot,Zigzag Spark
Stu Perstitious (Lucky),Connection Map,DF,Fire,147,170,40,56,69,40,63,53,53,Spinning Shot,Spinning Cut,Moonsault,Harvest
Hal Leeward,Connection Map,MF,Wood,160,138,55,71,75,56,58,63,56,Magic,Breakthrough,Ghost Pull,Fake Ball
Den Taligene,Connection Map,MF,Fire,129,122,72,49,50,48,50,40,70,Bewildered,Attack Scan,Defence Scan,Poison Fog
Isaiah Shutt,Connection Map,FW,Earth,107,134,64,68,54,60,52,56,52,Spinning Cut,Cross Drive,Bewildered,Back Tornado
Sandy Hope,Connection Map,DF,Earth,83,134,68,58,52,70,32,60,63,Coil Turn,Dash Accelerator,Cyclone,Whirlwind Cut
Gill O'Mend,Connection Map,MF,Fire,160,142,56,60,56,55,57,52,57,Rodeo Clown,Horn Train,Harvest,Shine Drive
Tim Mittus,Connection Map,DF,Earth,110,129,68,56,62,56,53,65,60,Killer Slide,Breakthrough,About Face,Twin Boost
Vince Bull,Connection Map,MF,Wind,112,133,55,56,52,60,64,64,57,Phantom Shot,Black Magic,Ghost Pull,Psycho Shot
Ches Nutcracracker (Gnashers),Connection Map,GK,Fire,88,92,71,71,69,71,78,28,70,Wild Claw,Horn Train,Blazing Knuckle,Whirlwind
Cody Barani,Connection Map,GK,Earth,140,132,47,35,32,61,68,61,52,Tornado Catch,Killer Slide,Whirlwind,Harvest
John Demi,Connection Map,DF,Earth,167,148,59,62,60,71,62,60,57,Spinning Cut,Spinning Shot,Clone Faker,Clone Shot
Bud Dahman,Connection Map,FW,Wood,118,100,54,56,51,48,43,59,54,Teleport Shot,Doppelganger,Psycho Shot,Divine Arrows
Les Tarrant,Connection Map,GK,Wind,123,118,52,63,40,44,47,53,56,Killer Blade,Wood Chopper,Bamboo Pattern,Blazing Knuckle
Buck Teachey,Connection Map,DF,Earth,134,164,54,60,54,60,60,52,56,Quick Draw,Zigzag Spark,Bamboo Pattern,Rolling Hell
Monty Burrows,Connection Map,GK,Earth,114,136,29,32,65,38,60,57,64,Killer Blade,Wood Chopper,Mistral,Spinning Cut
Ryder Wheeling,Connection Map,DF,Earth,121,101,60,55,49,44,48,56,49,Quick Draw,Spider Web,Bamboo Pattern,Hawk Shot
Wes Abbey,Connection Map,FW,Wood,167,158,68,64,64,61,62,66,60,Dirt Ball,Mole Fake,The Wall,Mega Quake
Benedict Eggers,Connection Map,DF,Wood,101,148,64,60,58,71,36,65,62,Sumo Stomp,Bewildered,Earthquake,Dirt Ball
Nick Savers,Connection Map,GK,Wind,134,170,71,70,68,72,40,76,65,Tornado Catch,Whirlwind,Mistral,Back Tornado
Sly Winker,Connection Map,DF,Wind,125,156,48,34,28,62,72,52,52,Quick Draw,Flurry Dash,Comet Shot,Bamboo Pattern
Manny Carbs,Connection Map,DF,Earth,151,140,50,55,68,42,53,59,54,Horn Train,Mole Fake,Earthquake,Harvest
Jonny Strutt,Connection Map,FW,Wood,140,120,40,48,53,55,57,47,46,Wrath Shot,Illusion Ball,Twin Boost,Blade Attack
Arthur Myrddin,Connection Map,DF,Fire,158,140,60,58,63,61,55,60,54,Killer Slide,Breakthrough,Heat Tackle,Shine Drive
Aaron Peacy,Connection Map,GK,Earth,77,156,42,54,56,59,71,52,52,Defence Scan,Shot Pocket,Counter Strike,Shadow Stitch
Hank Shortman,Connection Map,MF,Wind,165,152,47,52,74,43,52,61,52,Whirlwind Twister,Hawk Shot,Clone Faker,Clone Shot
Dylan Swan,Connection Map,FW,Earth,134,128,44,40,40,43,49,41,47,Grenade Shot,Dynamite Shot,Meteor Attack,Patriot Shot
Andy Sided,Connection Map,DF,Earth,134,157,63,66,60,67,59,59,52,Dash Accelerator,Zigzag Spark,Illusion Ball,Moonsault
Michael Angeloni,Connection Map,GK,Wind,156,158,40,60,74,46,60,56,61,Fireball Knuckle,Rocket Kobushi,Full Power Shield,Dirt Ball
Teagen Brewer,Connection Map,DF,Wood,147,132,47,42,40,60,67,57,56,Killer Slide,The Wall,Harvest,Sumo Stomp
Seymor Senary,Connection Map,FW,Fire,83,144,45,55,52,56,71,62,59,Clone Shot,Clone Faker,Phantom Shot,Ghost Pull
Armstrong Peck,Connection Map,GK,Fire,114,108,53,48,54,57,42,54,57,Pressure Punch,Whirlwind Twister,Blazing Knuckle,Poison Fog
Colin Eager,Connection Map,FW,Earth,121,115,52,60,45,49,48,52,56,Snake Shot,Tarzan Kick,Back Tornado,Blade Attack
Lon Grainger,Connection Map,GK,Fire,213,146,60,52,55,52,63,72,60,Power Shield,Wood Chopper,Full Power Shield,Spinning Cut
Tom Felix,Connection Map,MF,Wind,143,150,54,60,71,63,71,61,59,Dash Accelerator,Clone Faker,Tarzan Kick,Breakthrough
Fred Makepeace,Connection Map,DF,Wood,88,115,40,63,29,76,42,55,40,Killer Slide,Spinning Cut,Zigzag Spark,Afterimage
Hunter Glory,Connection Map,MF,Wood,138,176,62,70,63,71,56,55,60,Black Magic,Ghost Pull,Attack Scan,Kung Fu Header
Shay Chez,Connection Map,MF,Earth,134,156,56,66,59,61,63,52,63,Super Armadillo,Heat Tackle,Grenade Shot,Patriot Shot
Preston Gumbs,Connection Map,FW,Wind,129,101,61,62,55,45,48,63,63,Rolling Kick,Wrath Shot,Whirlwind Twister,Boost Glider
Buster Clout,Connection Map,DF,Fire,112,156,60,62,63,69,59,56,63,Dynamite Shot,Patriot Shot,Sumo Stomp,The Wall
Sam Firman,Connection Map,GK,Fire,90,144,60,54,60,57,52,67,52,Killer Blade,Wood Chopper,Whirlwind,Cyclone
Cruz Ligner,Connection Map,MF,Earth,169,152,59,53,52,60,62,59,58,Spinning Shot,Dash Accelerator,Spinning Cut,Moonsault
Olly Popman,Connection Map,MF,Wind,83,158,67,63,61,58,53,60,62,Sumo Stomp,Dash Accelerator,Bewildered,Earthquake
Shemmy Ramis,Connection Map,MF,Earth,173,130,60,60,60,60,62,63,56,Coil Turn,Whirlwind Twister,Magic,Whirlwind Cut
Rab Acus,Connection Map,FW,Wind,77,196,48,63,53,52,64,57,58,Rolling Kick,Tarzan Kick,Attack Scan,Defence Scan
Ryder Waverly,Connection Map,MF,Fire,125,146,49,39,33,62,60,62,56,Grenade Shot,Kung Fu Header,Afterimage,Breakthrough
Adam Nesiac,Connection Map,DF,Earth,158,78,68,70,55,76,52,61,55,Ghost Pull,Dash Accelerator,Spinning Cut,About Face
Tosh Coach,Connection Map,DF,Earth,99,96,34,70,39,78,37,32,32,Coil Turn,Doppelganger,Black Magic,The Wall
Max Bright,Connection Map,MF,Wind,147,133,50,44,41,55,67,52,58,Whirlwind Twister,Magic,Phantom Shot,Shine Drive
Harry Harper,Connection Map,GK,Wind,103,132,43,52,60,60,60,56,52,Killer Blade,Wood Chopper,Mistral,Dynamite Shot
Moses Pumper,Connection Map,FW,Fire,85,138,63,67,46,70,60,68,54,Ghost Pull,Black Magic,Psycho Shot,Mole Fake
Phil O'Biblist,Connection Map,MF,Fire,160,142,65,58,60,67,30,52,61,Black Magic,Ghost Pull,Kung Fu Header,Run Ball Run
Onslow Ball,Connection Map,DF,Wood,85,146,58,69,47,70,61,63,60,Sumo Stomp,Dynamite Shot,Rodeo Clown,Fake Ball
Django Keyes,Connection Map,GK,Wind,85,198,43,76,46,76,42,38,41,Pressure Punch,Shot Pocket,Spider Web,Counter Strike
Cory Andish,Connection Map,FW,Wood,134,136,59,70,47,69,62,62,57,Rodeo Clown,Monkey Turn,Run Ball Run,Back Tornado
Winston Windfall,Connection Map,MF,Wood,140,129,50,48,40,62,68,58,53,Super Armadillo,Heat Tackle,Shine Drive,Harvest
Trey Dalbum,Connection Map,FW,Wood,112,126,52,54,41,49,45,62,60,Illusion Ball,Freeze Shot,Back Tornado,Rodeo Clown
Mark Tinney,Connection Map,MF,Earth,149,136,60,58,56,53,52,53,60,Whirlwind Twister,Coil Turn,Whirlwind Cut,Cyclone
Chaz Anover,Connection Map,MF,Wood,151,158,53,62,53,61,58,56,53,Whirlwind Twister,Illusion Ball,Coil Turn,Cyclone
Theo Riser,Connection Map,MF,Fire,140,126,42,60,60,64,43,44,48,Whirlwind Twister,Spinning Cut,Whirlwind Cut,Hurricane Arrows
Rob Zervatory,Connection Map,FW,Wood,173,154,68,52,58,57,62,63,52,Killer Slide,Meteor Attack,Dash Accelerator,Shine Drive
Rob Ottman,Connection Map,GK,Wind,121,108,58,52,55,48,54,54,58,Pressure Punch,Whirlwind Twister,Wood Chopper,Blazing Knuckle
Glen Garry,Connection Map,MF,Wind,118,126,48,51,44,44,51,48,40,Bewildered,Illusion Ball,Moonsault,Bamboo Pattern
Gauge Diven,Connection Map,DF,Fire,118,186,54,61,59,61,57,55,55,Killer Slide,Zigzag Spark,Cyclone,Whirlwind Cut
Al Mannack,Connection Map,DF,Earth,103,156,40,56,63,63,63,60,55,Zigzag Spark,Twin Boost,Hurricane Arrows,Divine Arrows
Pica Vellosum,Connection Map,FW,Earth,145,132,59,56,56,56,52,60,63,Ghost Pull,Psycho Shot,Clone Shot,Clone Faker
Bramley Cox,Connection Map,FW,Wind,158,158,64,62,54,71,61,52,60,Black Magic,Ghost Pull,Teleport Shot,Psycho Shot
Rufus Judge,Connection Map,FW,Fire,165,134,52,58,52,61,52,52,63,Killer Slide,Condor Dive,Clone Shot,Clone Faker
Adam Icklock,Connection Map,GK,Fire,138,128,45,44,42,48,42,42,44,Fireball Knuckle,Toughness Block,Rodeo Clown,Mistral
Creed Wrighter,Connection Map,FW,Wood,165,180,55,56,58,53,56,60,53,Rodeo Clown,Phantom Shot,Run Ball Run,Psycho Shot
Barry Strerr,Connection Map,MF,Wind,169,138,41,63,61,48,53,62,61,Dash Accelerator,Doppelganger,Harvest,Dash Storm
Finn Carper,Connection Map,GK,Earth,129,112,62,52,49,60,42,63,57,Wild Claw,Horn Train,Breakthrough,Counter Strike
Guy Forker,Connection Map,DF,Fire,129,88,50,50,44,51,48,44,46,Sumo Stomp,Doppelganger,The Wall,Dirt Ball
Toby Patient,Connection Map,DF,Wood,195,152,44,57,55,60,71,32,58,Sumo Stomp,Earthquake,Mole Fake,Dirt Ball
Dec Orum,Connection Map,FW,Wood,209,140,70,56,63,56,63,74,60,Ghost Pull,Teleport Shot,Psycho Shot,Illusion Ball
Bill Looney,Connection Map,DF,Wood,114,172,52,61,72,63,61,53,52,The Wall,Earthquake,Megacolpo,Sumo Stomp
Pete Sadow,Connection Map,MF,Fire,103,146,40,62,52,61,76,72,60,Dash Accelerator,Breakthrough,Heat Tackle,Fire Tornado
Benny Factor,Connection Map,GK,Fire,154,142,56,61,54,56,58,63,58,Killer Blade,Wood Chopper,Full Power Shield,Bamboo Pattern
Cole Easteroll,Connection Map,FW,Wood,123,106,40,51,48,42,45,49,40,Tarzan Kick,Back Tornado,Illusion Ball,Clone Shot
Clark Roach,Connection Map,MF,Earth,85,144,66,54,57,60,36,63,56,Whirlwind Twister,Heat Tackle,Twin Boost,Back Tornado
Connor Bation,Connection Map,FW,Wood,140,124,55,59,45,41,44,56,61,Grenade Shot,Freeze Shot,Fire Tornado,Back Tornado
Kevin Boardman,Connection Map,GK,Wind,145,130,41,60,75,42,56,61,62,Pressure Punch,Spinning Cut,Whirlwind Twister,Gigant Wall
Simon Stryker,Connection Map,GK,Wood,151,160,45,60,61,46,56,59,60,Pressure Punch,Horn Train,Harvest,Gigant Wall
Rory Circles,Connection Map,MF,Earth,116,132,45,37,36,55,62,63,63,Bewildered,Poison Fog,Dash Storm,Sumo Stomp
Nick Turine,Connection Map,DF,Wood,127,141,70,62,59,63,44,64,53,Sumo Stomp,The Wall,Earthquake,Mega Quake
Jacob Grimley,Connection Map,FW,Wind,138,194,69,58,44,51,44,62,62,Spinning Shot,Grenade Shot,Hawk Shot,Back Tornado
Tim Crochett,Connection Map,DF,Wind,125,186,52,62,57,70,62,62,53,Fake Ball,About Face,Bamboo Pattern,Clone Shot
Will Bayeux,Connection Map,GK,Earth,151,136,61,57,55,62,58,55,52,Killer Blade,Blade Attack,Cyclone,Mistral
Norm Drilling,Connection Map,FW,Fire,158,134,57,53,54,58,60,57,54,Rodeo Clown,Spinning Cut,Dirt Ball,Shine Drive
Al Chemmy,Connection Map,DF,Fire,138,168,69,68,60,65,64,62,60,Killer Slide,Ghost Pull,Black Magic,Psycho Shot
Braden Bakewell,Connection Map,FW,Earth,90,125,76,33,39,48,70,40,44,Grenade Shot,Meteor Attack,Patriot Shot,Twin Boost
Dexter Raleigh,Connection Map,DF,Earth,118,146,46,34,35,59,69,55,60,Horn Train,Bewildered,Mole Fake,Dirt Ball
Gary Osoto,Connection Map,DF,Wind,103,142,48,60,57,56,71,61,53,Killer Slide,Bewildered,The Wall,Mole Fake
Spike Clutcher,Connection Map,FW,Wind,116,137,53,53,53,54,60,55,56,Dash Accelerator,Cross Drive,Illusion Ball,Utter Gutsiness Bat
Carter Nightly,Connection Map,DF,Wood,176,166,68,65,63,61,68,60,63,Whirlwind Twister,Quick Draw,Cyclone,Whirlwind Cut
Scot Enguard,Connection Map,DF,Earth,195,152,65,60,64,60,60,62,65,Blade Attack,Utter Gutsiness Bat,Bewildered,Rodeo Clown
Max Hurt,Connection Map,GK,Fire,132,132,45,59,52,60,69,65,63,Killer Blade,Killer Slide,About Face,Counter Strike
Olly Gammy,Connection Map,MF,Earth,191,108,51,68,50,44,48,69,66,Killer Slide,Breakthrough,Spider Web,Reflect Buster
Edward Albion,Scouting,GK,Earth,171,132,60,60,69,56,68,62,61,Fireball Knuckle,Tornado Catch,Toughness Block,Wood Chopper
Stu Born,Scouting,GK,Fire,114,102,60,56,40,48,46,56,52,Fireball Knuckle,Toughness Block,Rocket Kobushi,Counter Strike
Kevin Doors,Scouting,GK,Wind,173,164,70,66,68,71,62,63,63,Comet Shot,Killer Blade,Shot Pocket,Whirlwind
Hugh Dyer,Scouting,GK,Earth,77,136,48,56,61,52,70,71,60,Killer Blade,Teleport Shot,Mistral,Reflect Buster
Marv Errick,Scouting,GK,Fire,129,174,74,71,64,76,43,68,60,Toughness Block,The Wall,Mole Fake,Counter Strike
Alfie Fine,Scouting,GK,Wood,138,133,66,52,52,69,50,68,57,Pressure Punch,Shot Pocket,Spider Web,Full Power Shield
Randolf Finn,Scouting,GK,Earth,96,150,66,63,63,56,63,68,63,Fireball Knuckle,Toughness Block,Horn Train,Gigant Wall
Rex George,Scouting,GK,Wind,189,157,68,68,60,60,62,67,66,Tornado Catch,Quick Draw,Wood Chopper,Cyclone
